Review,Rating
진짜 맛있어용! 굿굿💓,4.0
유명세만큼은 강한 인상의 맛은 아니지만 디른 곳에서는 맛보기 힘든 유니크한 칼국수입니다. 면 고기 육수 모두 맛있게 먹었습니다. 만두도 괜찮습니다.,3.0
완-벽,5.0
"언제 먹어도 맛있는, 고기 베이스의 찐하고 걸쭉한 맛의 국물과 부들한 국수가 일품. 
다만 사람이 많아 어수선하고, 김치는 마늘향이 너무 강해서 먹기 힘듦.",4.0
가게가 엄청 복잡해서 한자리 앉기도 힘들고 칼국수가 아니라 중식 먹는 느낌 나요… 느끼하고 무거운 맛. 김치는 생마늘 씹어먹는것 같고…,5.0
내사랑맛집,1.0
제 입맛에는 여전히 맛있어요 ㅎ,5.0
"I really like the kimchi here. It's still the best kimchi I have ever tried anywhere. For the noodles, it's personally I think it's okay. It's not the best, but the kimchi complements it, so I still come back to this place even though a lot of people say it's not that good. It's pay upon order so you can eat without worry.
더보기",5.0
위생 최악이에요. ㅈ랑 마주치다니…,5.0
장님나라에서는 애꾸가 왕,5.0
"엄청 맛나요
조금 정신 없지만 맛만 보고 또 갈 듯요",2.0
"별 한개도 아까운 곳 
가면 안 됩니다 
예전에 맑은 감칠맛 나는 국물맛도 안 나고 짜고 느끼하고  김치는 먹다 남은 건지 손가락 마디보다 작은 조각들에 양념만 범벅 마늘 생강 향이 넘 심함 
혼자 가니 작은 구석 자리에 앉히고 가방 짐은 알아서 하라는 식이네요  앞에 앉은 외국인은 가방땜에 서서 먹더라구요 
외국인들이 많이 오는 것 같은데 이런 식으로 장사하지 마세요  부끄러운 줄 아십시오
더보기",2.0
한국사람들도 싫어하는데 외국사람들은 오죽할까…올라오는 외국인들 리뷰 보면 광장시장은 양반임..진짜 너무 부끄럽다,5.0
"음식은 그대론것 같은데 이상하게 예전같은 느낌은 많이 안나요. 그래도 맛은 있습니다. 가게가 깔끔한 느낌은 아니고 들어간 재료 비주얼 가끔 사람 놀라게 해서 혹시 이물질 아닐까 긴장하며 먹곤 했는데, 얼마 전 큰 사건이 터졌다고 들었습니다. 한동안 또 찾아가진 않을것 같네요.
더보기",1.0
"명동 대표 맛집이어서 자주 가긴 하지만,
위생이 아쉬울때가 있네요.
그릇과 수저에 이물질이 묻어있는 경우를 종종 봄.
손님 많아서 바쁜건 알지만 조금만 위생에 신경써주세요.
더보기",1.0
"좋아하던 집이였는데 벌레등 위생관리 안됨
주인 미국인",3.0
바빠서 그런건지 아니면 그냥 불친절한지 알 수 없음,2.0
주기적으로 먹어줘야함,5.0
"칼국수는 옛날 맛이 아니고 양도 너무나 적네요 
만두도 그냥저냥 먹었어요  
김치는 맛있어요. 
관광객들이 많아서 정신이 없어서 김치 리필 받기도 힘들어요  
선불이구요. 밥이 어디오 들어가는지 모를정도라 다시는 안갑니다. 
이 돈주고 왜 가는지?
더보기",3.0
불친절,5.0
"조카가 칼국수에서
짬뽕 맛이 난다고 합니다 ㅎㅎ",2.0
"직원분이 음식 나올 때 쟁반으로 밀치고 그릇 툭툭 던지고 먹고 나갈 때도 손으로 밀치셔서 
음식 맛은 둘째 치고 먹는 내내, 그 이후로도 너무 기분 나빴습니다.",3.0
"정말 오랜만의 재방문입니다. 명동에서 우리나라를 대표하는 식당이라고 해도 과언이 아닐 정도의 유명한 식당이죠. 맛은 여전하지만 기대감이 컸던지 아쉬운 점이 많았습니다.

장점: 여전히 맛있음. 음식 나오는 속도가 빨라서 회전율이 빠른편임. 미슐랭

단점: 1.위생논란이 있었는데 서빙하며 그릇에 묻은 이물질 발견했으나, 이해함. 
2. 하지만 직원들 사이의 약간 짜증섞인 말은 손님들에게 불쾌감을 주었습니다.
3. 가격이 점점 비싸지는데, 어느정도 선은 있어야할듯.
4. 앞치마가 없어서 비빔국수를 먹기에 좀 불편함. (외국인 여행객들이 옷이 더렵혀진다면 불쾌할듯)
5. 가격은 오르고 음식양이 줄어드는 것 같음.
6. 비빔국수가 약간 매운편이라서 메뉴판에 'cool'과 'spicy' 안내문을 붙여주셨으면 좋을듯.
더보기",4.0
"칼국수의 진한 육향육수는  
호불호가 갈리겠지만 개인적으로 쏘쏘~
(같이간 안사람은 맛있다고하심)

직원들 더 친절하였으면 외국인들이 
주말  손님중 반이상임
그나마 입구에 안내하시는 분의 미소로
별하나 더 드림
더보기",1.0
올초 갔었을때 막 나온 국수위에 고추가루가 떠있어서 다신 안와야지 했는데 이번에 인터넷 보니 뭐……비위생적.,3.0
"국수는 흐물거려서 별로고, 짭쪼름한 국물에 밥 말아먹으면 맛있어서 가끔 가는데 이제는 밥을 인당 한 그릇만 준다. 직원들은 갈 때마다 하나같이 불친절해서 먹고 나면 기분만 상한다. 이제는 진짜 그만가야지. 위생은.... 흐린 눈 필수.",1.0
콩국수를 먹었는게 소금를 들이부었는지 너무 짭니다.. 옆 테이블도 몇입 안먹고 남기는게 다 보이고... 일행이 같이 시킨 비빔국수도 짜고.. 김치는 맛있는데 칼국수 아니면 다른 메뉴는 이제 안 시킬거 같아요..,1.0
"내가 먹었던 국수중 최고로 맜있음
칼국수랑 만두먹었는데 겁나맜있음
기다리는사람 많은데 빨리빨리빠져서 한 5분이면먹을수 있음
다음에 또와야지
#명동#명동교자#맜있음#내 최에 국수집
더보기",1.0
"사장님 불친절좀;; 맛은 최고 후게를 보면 50년 된다고 함.
만두는 진짜 
맛집이 된다는건 별점이 높은게 아니라 후기 횟수로 하는것이구나",2.0
있잖 가서 넘 마쉿써서 사진을 못찍음,5.0
"내 주변인들에게 많이 전파해 봤지만 이 집 맛을 싫어하는 이는 딱 2명 ^^;
나머진 전부 다 엄지 척",5.0
"테이블 좁고 정신 없고 분주하고 위생 흐린눈에 제일 중요한건 맛없음 ㅠㅠ.... 다 남겼어요 김치도 마늘김치라는데, 그냥 마늘인 것 같아요.. 마늘 그잡채임",5.0
"가게 더럽고 , 맛도 더럽다. 밥 추가해달라니 안된다고 한다. 외국인 장사로 변질되서 그런가 최악임.",1.0
특별한 건 없는 듯,1.0
직원은 불친절 하고 가게 안은 사람이 너무 많고 테이블 간격이 좁아 먹기가 불편함 맛은 고기불맛 비슷하게 나는 칼국수임 좋아하는 분은 좋아할듯 다만 김치가 마늘 맛 밖에 안나고 먹고 너무 매워서 화장실 여러번 갔다옴,4.0
"명동에서 이만한 맛과 가성비는 드뭄.
밥과 면사리 추가가 무료라 양도 많다.
대표메뉴인 칼국수는 강한 후추의 칼칼함과 매운 김치로 한식의 특색을 살렸지만 이외 메뉴는 호불호가 갈릴수도.
더보기",3.0
"bruh why so rude? I get it it’s a packed place, but being kind doesn’t cost you anything lmao. Not coming anymore.",3.0
"칼국수랑 만두만 먹을땐 쫌 물리는데
비빔국수랑 같이 먹어보니 맛있었다
고기맛 찐하게 나는 칼국수 한번씩 생각나면 들름
근데 진짜 남자 알바 개싸가지ㅠ아우
더보기",4.0
"9/18 방문
오랜만에 방문했는데 음식이 전체적으로 맛이 떨어짐.
외국인이 많아서 그런가. 사람도 많고 일하시는 분들도 불친절하다고 느껴졌고 너무 소란스러움
1층 아주머니 뭐 좀 옂줘봤더니 짜증내며 말씀하시는데 기분이 안 좋음
더보기",1.0
"저는 약 22년간 명동교자 단골인 사람인데 육수가 정말 예전같지 않아요

진한 육수에 착 감긴 면의 감칠맛이 다른 곳과 비교가 안 됐는데... 가격은 계속 올랐는데 맛은 덜해진 거에 대해서 꼭 누군가 포착개선관리해주시길 바라며 🙏 그게 안 바뀌면 이사하셔도 감소세는 이어지시지 않을까....
더보기",4.0
"오랜만에 명동교자를 방문했습니다. 명동교자는 더 이상 우리나라 식당보다는 외국인들을 위한 식당으로 변한 것 같아요. 이곳에서 칼국수 콩국수 비빔국수 모두 먹어봤는데, 제 개인적으로 콩국수를 좋아해서 많이 먹어봤습니다. 
오랜만에 방문한 만큼 이곳에 클래식 메뉴인 명동교자 칼국수를 주문했어요. 칼국수 국물 내 교자와 고기들이 적당히 잘 들어가 있습니다. 오랜만에 먹은 명동교자 국물은 역시나 맛있습니다.
김치랑 먹으니까 맛있습니다. 김치가 조금 자극적이긴 한 거 같은데 그래서 칼국수 면이랑 잘 어울리는 것 같아요. 
음식이 정말 빨리 나오는데 면은 조금 불어서 나오는 느낌이었습니다. 
그리고 워낙 사람이 많아서 좋은 테이블에 빽빽하게 앉아 있는 것이 조금 힘들었네요.
오랜만에 추억이 깃든 곳을 방문하니 새롭네요
더보기",1.0
"오랜만에가봤는데 사람이 너무 많았고
맛은 그냥 그저 그랬던것같아여..",2.0
후추맛이 강한 감칠맛 강한 육수입니다. 왜인지 쪼금씩 더 맛있어집니다. 줄이 길다면 을지로 4가역쪽 ㄲㅇ칼국수 국물이 그나마 비슷합니다.,2.0
…정말 평범한 맛인데다 조금 느끼했음.,4.0
맛은 good!!!,3.0
아직도 가는 호구 없죵?,1.0
바퀴벌레 나오는 식당,1.0
"[단독]바퀴벌레 나온 명동교자, 또 이물질 나와 ‘과징금 1850만원’ https://namdi.co.kr/?p=11095",1.0
위생,1.0
명동 근처에 가면 2차든 3차든 일단 여길 먹어줘야 집으로 돌아와서 원한(?)이 안 남는다.,1.0
"김치 맛있음 
육수 진함 
웨이팅 좀 있음 일요일(11시)",5.0
"맛은 좋은데 뭐랄까 전반적으로 간이 세요 ㅋㅋㅋㅋ 조미료맛이 난다해야하나...

한 2년만에 다시 갔는데.. 위생이 심하게 우려됩니다..ㅋㅋㅋㅋㅋ 양도 줄었고, 물도 수돗물 맛이 나서 한모금도 안마셨네요.. 이미 너무 유명해진 곳이긴한데.. 앞으로는 안갈듯요
더보기",4.0
이러니저러니해도 여기만의 맛은 다른곳에서 찾기 쉽지 않음. 명성 생각해서 위생에만 좀 더 신경쓰면 좋을듯!,5.0
"#진한육수
한 입 뜨면 진하디 진한 육수맛이 느낄 수 있습니다. 국물 한,두번 호로록 마시고 본격적으로 면과 만두를 적절히 조합해가며 먹으면 젓가랏질 멈출 수가 없습니다. 옆 테이블 외국인들이 감탄사 ""오이시"" 연발하며 먹는 모습은 인상적이었습니다. 밥은 한 번만 추가가 되지만 양이 적어 아쉬웠습니다.
맛은 인정하지만 최근 이슈가 된 사진은 충격적이었기에 위생에 많이 신경써주셔야 할 것 같습니다.
더보기",2.0
그냥그랬어요 중간정도맛 불친절~,4.0
맛있어요....다만 웨이팅이.....,5.0
"별 한개도 아까운집. 리뷰 써야 되니까 별 한개 다는데 진짜 맛도 그저 그렇고 칼국수는 빨리 나왔는데 면도 다 퍼져서 나오고 직원분들 진짜 불친절 하세요. 11000원 이라는 돈 주고 먹을 만큼 맛있지도 않고 서비스도 불량이고 네이버에 나오는 리뷰들 절대 믿지 마시고 그냥 가지 마세요. 그 맛에 그 서비스, 그 가격이면 차라리 그냥 편의점에서 사 먹던가 아니면 김밥천국 이런데 가시는게 훨씬 나아요 진짜 바쁜건 이해는 하는데 저희는 음식도 음식이지만 당연히 가격에는 서비스도 포함이 된다고 생각하고 가는데 그 2층에사 안경쓰신 아주머니 두분이 인상 팍팍 쓰고 직원인지 사장님인지는 모르겠지만 그분들 진짜 만약 직원이면 사장님께서 패널티를 주시든 하셔야 될듯 해요 진짜 진짜 심각합니다. 내 평생 먹은 음식점중에서 제일 제일 후회되는 집. 시간도 돈도 다 버린 집 그곳이 바로 명동 칼국수.
더보기",1.0
"30년만에 온 명동교자
변한듯? 변하지 않은 맛?
내 입맛이 변한거지?",1.0
맛있으나 청결하지 않음 서비스 안좋음 외국인 관광객 다수임,4.0
엄~청 기대하고 방문하였는데 기대에 못미치는 맛...,5.0
5년만에 재방문 한거같은데 맛은 여전히 맛있습니다. 회전율빠르고 주문하면 메뉴 엄청빨리나옵니다. 다만 자리간격이 좁아서 좀 어수선하다고 느낄수도 있을듯,3.0
"20년도 넘은 1996년고등학생때 다녔던 추억땜에 한국방문할때마다 오는데 이제는 일본및 중국 관광객들로 득실거리는곳이 되어버려서 아쉬움. 양도 줄었고 (믈론 사리 추가는 가능하나).  한국사람들은 거의 안보임. 추억은 추억으로 간직하고 아제 다시 방문할지 모르겠음. 남대문 시장안 갈치골목근처 지하에 있는 명동칼국수집이 더 나은듯함.
더보기",3.0
만두는 맛있었음,4.0
"유명하다고 해서 방문
만두는 비비고 냉동만두 느낌
칼국수도 특별한 맛은 없었다
김치가 특이한곳 비빔국수가 맛있었음.

개인적인 입맛
더보기",2.0
"음식 빠르게 나오고 같이나오는 김치도 칼칼한 느낌의 시원맛이라 괜찮았습니다  다만, 특별한 맛은 아닙니다",2.0
맛있어서 근처 갈 일 있으면 꼭 들러요.,4.0
다른 볼 일 없는데 오직 칼국수 먹으러 명동까지 가게하는 존맛탱 칼국수임! ㅎㅎ 오늘 또 먹으러 가야징~,3.0
콩국수 만두 칼국수 다 맛있어요,5.0
역사와 전통을 내세우려면 이정도는 해야한다고 생각함,5.0
더운 날씨임에도 칼국수가 정말 너무 맛있게 느껴질 정도였어요. 함께 먹은 김치랑 비빔국수도 정말 맛있었습니다.,5.0
"1인이었는데 일인 테이블 하나에 벽을 쳐놓고 두명을 앉히네요. 너무 좁아서 돈 내고 불편하게 먹기 체험하는 줄.. 뭐 얼마나 팔려고 그런 자리에 두명을 앉혀요? 콩국수 카드결제 먼저 받고는 다 떨어졌다고 취소 재결제 했는데 먹고 있는 중에 다른 직원 와서 결제한 거 맞냐고 묻고요. 테이블 거지같은 거 먹고 나가면 그만인데 이거 때매 글 남겨요. 본인들이 주문 제대로 확인 안 하고는 먹는데 기분 나쁘게 되물어서 밥맛 다 떨어졌어요ㅠㅠ 어휴 괜히 가서 기분만 잡침
더보기",4.0
"맛있음,근데 카드 리더기에 데려가더니 알아서 결제 하라고 카드리더기에 그냥 넘기시는게 어이가 없었습니다. 제가 카드 리더기 쓰는 법을 어떻게 압니까;; 다른 외국인이나 어르신 한테는 다 해주시던데 그분들 보다 젊으면 그냥 둬도 괜찮은건가요.",1.0
